idstr,result,success
aaaemmjczgmwajozbuinhovpqmsfhe,26,True
aabfebcndzwndajpkcbjsognwozpna,306,True
aadopqidfwakbvqmyzaohkbcpylakl,66,True
aadunsixmkirfrkmrjeimkksmjvpyq,56,True
aaenpxkzecszillqotywwyidqezkmg,43,True
aafwapnghazjuhkimfxekoaeydjlub,96,True
aajfggmsjfveiycnkxyespbjhghhrq,135,True
aanfmszxlxsjfwfbqsbbglwuunemfz,122,True
aanjtntszpkpiobgmmylgvvrrxjztp,42,True
aaowhpfvleehvaygivrsxcpzvuqcpa,84,True
aapbuwllslxioqtrybyxlbfskqavri,52,True
aapmrjirvnocgvonjcmkjxfdyorhkx,77,True
aaswdirqlnatyhjhnnwondmwfueinl,71,True
aasweoxelborflsgxbfzpxxvelrhad,69,True
aasyxszqfruqanjswhrlpvcdqodios,35,True
aatddjdsoddpsiqrviuwsqlsyebwfg,158,True
aavccbtpucedlnxrdiudhagkavvzgi,41,True
aayvonrsxsowwlrpoirlfvrqzsshmw,70,True
abfqzzlqsinyymdrpcbwkpvlfedwoe,170,True
abhcimwqekaephyjbpjzgkmazarzrz,48,True
abkiawmippndelakiqyubrwyxiacds,45,True
abklalghmklzcmqezfzdzuzvodjdro,122,True
abksegyukwwlhkatexswxnrrkbjgww,45,True
abpltphxznxpczmmlcrlutzgwjzyxn,119,True
abvxzzslngawvuzghpscpqfmpdfuhv,110,True
abwgweuhjmffnqxuitfppoktqtwdvk,40,True
abzboqgptfzbboysxzzwwcfkdirplx,89,True
acbaiepvmzbfgesloozjystnxjcvmb,52,True
acbwerajxhdgswskcyajqwocivgzuf,44,True
accbuhhzzsaezayglvufdyrzhkimpe,95,True
acdxulxuncplcvkplyleuwwfzacagi,33,True
acedzlwnoewqfxfczxbqvozggoepfb,30,True
acgmuhfmtqvwivcxlofaetugxkbijk,192,True
achklyjysohpewbvhfwjknjwcqltms,56,True
ackkapwjdybdkcnskcqiofsgduijuf,67,True
aclaxjigqtbuwejtfxpdliyrbkpcis,30,True
acldoodqartknbxmpskykembunklya,31,True
aclqihnriwzgyaikvmoupzvsufltnl,44,True
acnjcdtekqerafivaoxwadrdaccact,34,True
acozyturzpbpdstlnnoegyvntmdvqg,32,True
acsbohmnvgbyuxlknxdxiuhxrqxuzu,40,True
acsngqayhvmbetpujjfksikwcyzppu,110,True
acyguglpmgikwvfraqgayzvbpgijgl,37,True
acztberxctibnssdkrilmhfaaflvzi,41,True
adebeomkzbpeuvdgegrktbbjudvllu,31,True
adetsyoxsbbuzrgaupnhjnmqgzydfi,46,True
adexepnxlrtxwmepoobvvnisczmrtk,155,True
adfbsagqwxfmfybrskgfhsbkqsazds,94,True
adfzagongtwynnysvoabtctpobydqt,30,True
adhmwmfpbrmhcqnqmquakwjoysyupy,69,True
adkpvrtchfmjaixyyrtrrfurhrchuo,33,True
adnxokupypeozxftqhnhgotxpyqmnl,68,True
adopqfpdltpyvuezpgujccjahhbnhw,37,True
adowskrvdnnaxdabgkvttnyudvwble,83,True
adphjtwzvudxyihvydazwnrwrruiig,46,True
adpyhezguyztzqrntpwnzjiruaxhdm,35,True
adtfwedyzfemuihrrviavvfqpqwqwv,32,True
aduafvjverzfvikvcwxpyrbvmajeob,49,True
adylmteixcfnwbtcgshxrbfkzuennp,96,True
aeaamlykviufgbenopjgkqhhhehhge,69,True
aecujxsbgyuagykcunudzvciyeywbx,38,True
aedestqatptcsbshbeqlbhbqxtyahh,192,True
aehvpguggpclcshylgufkploivokwi,88,True
aeikgqcurhyspejoiyshlyepmgmsub,36,True
aektmfguqycyajegixrnpwdmqhslzc,87,True
aekwoiudvhpwijkgkarynjcycvacat,95,True
aeqcobfkfwobrztzaxwiufpgroaaxk,117,True
aerqcxqivghqndbtfbmykrczwxhzcq,153,True
aerqpwibfwdhkxeeajoqgezuagfuiv,25,True
aerqtasgiurdedpafptwxfnniumnku,100,True
aeuhorgoosarbwydtbnxdbhthpbipp,43,True
aewjspxwcfplpyqaacbbvqrlsanoux,62,True
aexfmnvqkwfutsklvomcosazbarbpf,74,True
afayrkoxjtvobzevxperccgzhgzcmx,35,True
afextiszjdxjjbiaeihilqjlmhawxo,179,True
afgnaenaerwaevjqjjaedtykgifqya,70,True
afhnndptfofrnaxrsigfgbdamuorzl,45,True
afmmxjjkqplpcfuvvrfurrbrbomces,57,True
afoklbgfzvsgxududxksmsliiruaxj,71,True
afrmavhhuhainwsavkejwgvynrvrba,68,True
afrwebtyzszrvqqxnalxxjscecohqx,23,True
afswkimzmaqjqgswxgfldwnzpyszkc,49,True
aftmdeqsotqbhvkwguzuqhiqylagaz,47,True
afwbznooiusvkjcoywsllfkqqdiuxp,121,True
afweicbonlrvnqmhcinpzwqsrbpbvh,132,True
afwvpqabxzrcjzjesalatshbyngnul,65,True
afynkhxwzlgisnrmajqtqssrrpbzhw,137,True
agavhsklvjbetgibqxqhumkzzyjgyw,37,True
agfklvlahmkmvoannevjebxmhrpnsz,37,True
aghifcvnzlvpollwxpdhyqmwsgcjkp,67,True
agmwpcihltdxbsvkzjcwkioxgrsvnb,49,True
agojdqaxamhaxgqlmzghjvgovdftui,36,True
agplhavszyygtyxbkflnpbzjaaolhl,50,True
agpzpcoffwlqqtzsdbcjzuilblrjwx,39,True
agvipsnnczdlhhpemunroycifxjkge,34,True
agweygwopknllquclmnljavybiuuas,37,True
agwwphpjozyypziokikewtyjoeywzy,30,True
agxzipfyzlwgiithbzxkzsfmxxicze,55,True
agyhopxwugjdqzqgsexfbuxjfhktrt,45,True
agzmxdvaptrptopenextglkhfohuoz,37,True
ahdwcgbujercekyaebqzehqbdohzbr,95,True
ahgddpstozzmbuujueluxmdrlhnapd,143,True
ahhlogtvjkewrahmlwlbvayhfxjspd,23,True
ahhywqfwraktgcxxgizocbuqoiuhgl,35,True
ahkhvakgsqvjqfdkcmlwyywwkmfbrk,218,True
ahljgfhtwhuhbmolcecgniurtldmze,34,True
ahlyovojucxasajnvjwsoocflyfoud,32,True
ahmdmlbyyasovzllkbqxkljkjcomkq,102,True
ahmxkcorvguvqqotyqynfchoizkand,72,True
ahnwioznkbzmdmjmoabocifszdwcbs,43,True
ahpjldqiecplhjebhwxrbvzrvemjqz,50,True
ahqklruriicogjhghzsjsefsoyqtyo,30,True
ahutguwqsappjvvrymqgmimykjtgrv,49,True
ahwhrasvakcvmatysmmijjkxphhdeo,44,True
ahwpqotfrgzplxutphwosgpmwatjem,55,True
ahymtklfsipkdzldqynxwgbndmqxyq,36,True
ahzsizzrhmhhzumcgclnhzesqvovud,211,True
aibftzzonlhryggedcplricflxihmf,30,True
aibphohcdldruqhkbrboqosvdttdni,33,True
aibqncntstnhodgfbfoydjyvsxsyig,58,True
aicobdrrbigschmtdkeqwgdsngsthw,36,True
aiddscrtqfgubwbogvhownkhcdkcls,44,True
aiejlkzmcbjdienlugsuhquknxaevt,100,True
aiepyruvrlsnecfezelcwswlidglzf,51,True
aigrtgznakgkpxwuvqmxizuidfrmwz,55,True
aihzgfmjumqqbguqdsjxyaiegxeuym,52,True
aijcbtesdrmatutudbmzcjstuhwpmk,42,True
aijcujrbhvwimkqysjqayhrwopdnfz,39,True
ailtplfbwhysfmshmxldyrgktcxrot,39,True
aimesncoikpblqbyihgmmxwuzsqlhx,71,True
ainqzddsikjxvcrhxxepfsidufmody,45,True
aipfrfaicczbufgmmaiaywrtjwhutd,59,True
airteybvsdtpdmuutaownyinvyocur,33,True
aiuflpnyljrwknfmgewtnxdupalkve,48,True
aiunxuzdqaarocrpxpkpjczzpaqgqf,69,True
aiuylheznnbengbwkgmnjyjnxjroyi,29,True
aivfuibhnclmsihzoqzdvvyqsaltxm,89,True
aiwagiatrtfgjejramlpvyshxznbpy,36,True
aiyuxuadzyrhkahjzjxlobkhsvfcpz,34,True
ajbxmaddpneiaxfycwsiqldndyurhh,34,True
ajdxofylbikkmsbnkbyhqhcxfkdzcm,19,True
ajeleovxcmxhtmbijfkupbiuyhxotc,30,True
ajfdlaerbsxwcypkektglilafmmkvv,49,True
ajjydoqpchagethmvqhluxclgfimgg,51,True
ajkmzhhnranlancrbixyocxwalikcx,39,True
ajmzcrtegghewjkvfzmymboxyznfjg,58,True
ajnkqppuivaurebyhksnontoohskty,45,True
ajoirjvsjdbbzjdbxafrjnswgblrsw,59,True
ajpokpfxjgxwtiqgiroqockpostnie,41,True
ajrpbxzjabajggocomgtqlkjxatepp,101,True
ajwwkjbdcwkiicdducmszjwkxsclhi,46,True
ajxsdkymeepihaoubaqgcqkdmvjukr,35,True
ajywuyvhfplcepyirwsxyjltqwavpz,43,True
akbhnuzrmlyrmxugyagpwbeziecoli,63,True
akftpjgbnlqdhcdfresjkmvsxtosty,122,True
akglmbsmproeflxqexppkijhpydfdt,74,True
akgzwubopxefovqzcopkweppauchuc,56,True
akielqbixjmdcrhhvwtlnfmzuktlfm,66,True
akledcyjpdpwzxzeusrmrpwdyfhppe,35,True
akopxniztogwbhvtzydnnkyoqwfcuy,34,True
akqlnlhuopmtuybbxjpzqqdvqvtpys,95,True
akrdekymgjpshdpsiwdblzuewzsufo,32,True
aktdqlvinitdyvpyfsapnjbzbixtct,126,True
akyszcvldchemkdmyykuqsckamrxqo,32,True
albesguxgbzrrirfthduzmhqhswvbz,31,True
aldkafowmbtzcdynpowutvuhwmejcb,97,True
aleisaukllzgcrtzxubzxvrkrfscqp,111,True
aletidbrklbybnbkwzozcreinryuhz,101,True
alewogdwqchtnzyvxawektrpkysaev,46,True
alhibwdhamynkxklgwsvuowdjkztas,213,True
alnptzmkhpzvenmvdskwgbebnhqzlo,68,True
alnslrdxrojwgjnhmrdlsyfpduqyaj,43,True
alnzrtdsjygaxirkfidfiqrxhgjgrq,33,True
alogblxavihfuimjomnwmnmrsydwja,25,True
alphgcfaugmdvwavtlszlaqkqzvdqx,64,True
alpjdmbptgfvjasimqbijdnbbatbif,35,True
alpvahbxmbspisgahxpovgyzieigje,64,True
altoqrhidlpsmqotvufahcuuvskstt,40,True
alusgapagmcdbbbyauieecbggwozxr,60,True
alwttskiuetzcoveneixrglxomjxtg,126,True
ambyhygcfhhdiruzekljqpbcifwwue,76,True
amgjitefublgwcqzwdmoqnnrpqifba,63,True
amiodofgcdkhhcabrwwunjbhjsbubn,51,True
amllakypzkxwnkbqgkwfspzxibybhp,52,True
amuxtrhrsnjvjjhvixydivuadeoxpw,50,True
amwfxldmsveosazuloygflojozkwtl,51,True
amyessmybhdqhepvqnbhjukrtewndi,341,True
anacwjshcpqszprifiidhqcqghhgra,29,True
anaodojutezxitkhlcskyhidngrnfy,35,True
anefojoblvpotkdpiniylwpaundfjo,32,True
anffrzubnalszmnszivdssvxpcvfdo,105,True
anksjfiytcakrkijohbmeropqmsnzu,36,True
anlmgfqvvgqnaangafqlrjxdqjymbl,100,True
anmzvxxybgwcscmtmxcoaxugljkyyl,66,True
anrliwajzwykuzkbblaxnkebdlksmw,43,True
anvmccjjjkicucivdcqlfyxsmgcpjj,30,True
anycgbgtzojkwcswapioxjgzlutyff,31,True
anyfffstdzfyucztkvmnxldoaihpen,38,True
anyjlfucwspxmflyweybgzhigfxekq,340,True
anzrbnmphcndnuolzmqvnnczyyprui,62,True
aoabvnbgebegswsoqymcmgdklrfbxw,45,True
aoeisqxvjejofuxpdgdulyrgoqrspy,71,True
aoemrvkjbgvxxgntfdyibjcdlfeakh,23,True
aofnfbzexyynfoncgbptwkpeorphwz,158,True
aofqyebjyxzodiqjpkyvxsfpswhgfr,67,True
aogvdcbsjpqzxlyftecccihheeumor,40,True
aoiisjoqjmtiagshlkfhjbivazkkvx,91,True
aoinlfqqezlwdnqithonkibnzqlyly,107,True
aolxlcipzuaycixpvltjsatddtiwka,35,True
aomkxwccsupjnjbjeqswilarqshcvp,75,True
aomqbbabkaglswmaeqfokxkgskevwq,326,True
aomyjnfmptvcszwirrhlrdirbrcise,38,True
aomzuihfgihcsustowbbemicstuesn,38,True
aoostowdtrhoffzlapmjsbrpomdere,107,True
aooyrqusbjqujkoftvbhethzxzdxpq,161,True
aoqbjcpnvbuwxxknzdyywqmcfkaltk,53,True
apaxdnbbnfkpiozxmnpjjdyrmxleef,325,True
apcjjxsdsvuwbcywobzbatppyzerdl,36,True
apdxmnoqyjwrqihujcfzkfwdrqtxau,88,True
apfiytotsgejscjtniodzyoloqtpsn,47,True
apjpzslmdscpxijxlizsvagrsizqrc,60,True
apnvimxcckypefqwohyknwyanocjos,82,True
apvmidkocrrsqfakoaczcfpylamdev,61,True
apvnvpzfdqdpwlaetifcweszeelewx,62,True
apxrmxstcxifulfjitopuzcaekjcwr,365,True
apyzyvnclpeznxiafmmnqmwfgipdxh,51,True
aqaiomwzpozpcooamtjcxlopmxkoxs,36,True
aqaqeegjyfjfmrawitweihuzzjqjnf,88,True
aqdcibeoqclxybktcszupcwcxpzyst,103,True
aqddhwyvvolwwdwfhrqzzvpuztrvtq,54,True
aqiepchqsgmqqsasrjneszpgsvsdfj,158,True
aqlqydiacxsakwuprpogrwzpijbcgo,36,True
aqqqgbbjisbsrfktgjmtbdpacdtkje,60,True
aqslaimsmflxprxdebucfwgkehxucq,104,True
aqslgasttykfxqhoroonwjximcvtkr,104,True
aqvcbkwkpwdfbvxnkolcycrkwnmcjs,52,True
aqxtpkumyoxdfbwucwdchfyryslswz,55,True
araqcrtqdelyxjuinxdklyvwvutwzo,98,True
arcqamfpxgpqwqlpqquxrbzipxcqce,85,True
arebxpstnekmdsggzmgnhnqoquxijt,106,True
areoehjooqcekxmjghrygxjzvtrpex,31,True
arheltvvjmcrsxkpvscsykgnnippft,35,True
arhjohisrljqprbusfpagglxttowav,47,True
arktucopindhbhcoumvrjtgxaizpva,73,True
armylzssfvwgbvlhlmwzinpjetwydo,246,True
arqxbpaprlljsdkirertegoziercxj,136,True
arsgkfzfpnazrvkvliokgxngpqlbfv,70,True
arunadvlucvxdlisbekqbkeusmyooo,39,True
arzffyndmcwpahmemdemahdlzgogta,72,True
arzuctwfmqfjuviolremxrwjknajhz,56,True
asbhclbpxbefoaxngqrldzzrhqdhkn,71,True
ascewctqyjfgcuanmhcagaqqdxneum,81,True
asebkrmgczfhkaznriusenwvfhmpcv,42,True
asgonktlcmfiljqgvqghkuhmuqotnw,37,True
asjqycyhmwmyewgxzsxayjdbuaqiyh,38,True
askkwyyjajgrcjxvpuiarvkdoazpkw,28,True
asknflajdaghlaewjaxfgeazbndyuc,24,True
aslcgmgbfzitfasblytuxcdsixixqz,46,True
asljwnqlvrjopsjusmjtfygdngyeie,34,True
aslxdtvyyfnkinxedcrjupgrvejmcc,33,True
asogshjahzgphfitxtgdrdpcvxdazc,222,True
asoufayfbnkoyowckngxuberdpepvr,55,True
aspsecnsbqguvkzlmwnryqjrirumge,148,True
asqcsinlkayisgfooxbpasmxqocoqp,93,True
astbbkyvtljndufjhldexftafrsqud,55,True
asxsnsznxwljpyqjcwhqcvjrimpbtg,31,True
aterldkfxhsmivhqbylwysuefvjuvx,35,True
atlzfohaxrepwzkudozocotkcbimbz,146,True
atnhjxxwetogssofyhjyitledzxeim,261,True
atnocgbiwfzvidumzxnpmhpbuwpzum,38,True
atnwdvfslshhtxwfjvndobqoarjobf,117,True
atpbpvaenxrqkvxsgxicyfetajhjte,99,True
atplmihdbhpfjiphvrkswpoufxgjcv,53,True
atrxokeaanmrwjziiaaurwdeviixtz,31,True
atsncezlmjzyukcdjzlbcjjyzhdqzr,179,True
atvlvrsoibkrcwwdajdhuugulfgori,36,True
atwopcnmtidrwuimfujsnpjjsifrdm,52,True
atznyjsbuldnypdahvldzrkvdkmnli,57,True
auaujmqjsxgdhdlthzpetsttpsrqha,40,True
aubqikrmsikjebkcgobisabkuiryaz,72,True
auchgqhbrgrtdauvbhdkcvnioirzxh,34,True
aueceparpfagzmhfupfbrzwiloppkr,58,True
augwbvsludtvetbtqypiwmlxhnohtw,35,True
aulqofkycupetrsckrzlujnujponnm,50,True
aumlacokaomcqmuiwifdeohccuvykd,104,True
aunkpsmnzahabtuelufwqdquoyxqss,63,True
aurzuatifvdshkybdiexwbtjdsrxuc,36,True
austxtpuibffdwjpwmckjjvmgmxjlc,52,True
auusiptyhsnheynwznlhvhvvldyasy,65,True
auvahulmcnbxbivmhninexrlwytjmp,91,True
auwjnjbzxxybumasviqeacytmeiyei,546,True
auxcjcbxpgktrwgwgiphwkomsrkptm,93,True
auydbvhinikrdfipkhzolvnerqmpcl,34,True
auywudxjiqkymjzzikicpzxwxpfrug,58,True
avbqhvlrfzsxwwqittrfadsyoldyun,36,True
avclbilisbzxhhitanlhfmwgmorauv,51,True
avepgsvcgahktkixdscprbwdmgboaq,37,True
avgrfeamwywrwqtpchkdhwpnozufti,41,True
avhsnzkhjttbhtosjqlyqitdzgokzs,67,True
avjejbcuyjuokeqwgwewsnznqlgndg,43,True
avtcglnvicexzafwvsoeqckekavudt,32,True
avvjeawkjoorvucavgjfhlztkghgme,57,True
avvxgiemnbxwpscewulwevfggnkqfb,1054,True
avzalbkjwhjtabagylcamhqwcqxynj,36,True
avzcqhbnwbufmdtcvlbhqkbhuwvmeo,35,True
awarvapbhkgbxtnuqkcirropejjnbm,206,True
awbakcnpzxzydmvxvnmounnaigoiuq,43,True
awcgcsvgkajlaqicvmlwwlvlkrgbqj,39,True
awekxqfkhqhnnjbynjigigjwgeasvm,89,True
awinnakwhoxwsnliardgwjqcdpdjql,22,True
awllgsnzmtzrugilfzuvjvpicvczyg,50,True
awzzmhzzudtcdxkydlbutiagwixhat,103,True
axcganmxghtleizhalgabeozqxztpo,41,True
axcqshdvgxqxjvdamvhtcavqkraval,145,True
